file_name,dataset,model_type,seed,epsilon,verifier,property,result
MNIST_0.009_7823.out,MNIST,prune_0.7,90,0.009,abc,23,0
MNIST_0.008_6853.out,MNIST,prune_0.6,90,0.008,abc,53,0
MNIST_0.007_5734.out,MNIST,prune_0.5,80,0.007,abc,34,0
MNIST_0.007_663.out,MNIST,baseline,70,0.007,abc,63,1
MNIST_0.007_6647.out,MNIST,prune_0.6,70,0.007,abc,47,1
MNIST_0.010_2917.out,MNIST,prune_0.2,100,0.01,abc,17,0
MNIST_0.010_7834.out,,,,,,,0
MNIST_0.009_3483.out,MNIST,prune_0.3,50,0.009,abc,83,0
MNIST_0.007_5272.out,MNIST,prune_0.5,30,0.007,abc,72,0
MNIST_0.009_2311.out,MNIST,prune_0.2,40,0.009,abc,11,0
MNIST_0.010_7140.out,MNIST,prune_0.7,20,0.01,abc,40,0
MNIST_0.009_5077.out,MNIST,prune_0.5,10,0.009,abc,77,0
MNIST_0.010_925.out,MNIST,baseline,100,0.01,abc,25,0
MNIST_0.007_1600.out,MNIST,prune_0.1,70,0.007,abc,0,0
MNIST_0.008_8909.out,MNIST,prune_0.8,100,0.008,abc,9,0
MNIST_0.006_2128.out,MNIST,prune_0.2,20,0.006,abc,28,0
MNIST_0.005_784.out,MNIST,baseline,80,0.005,abc,84,1
MNIST_0.007_2994.out,MNIST,prune_0.2,100,0.007,abc,94,0
MNIST_0.006_7954.out,MNIST,prune_0.7,100,0.006,abc,54,1
MNIST_0.010_4621.out,MNIST,prune_0.4,70,0.01,abc,21,0
MNIST_0.007_4305.out,MNIST,prune_0.4,40,0.007,abc,5,0
MNIST_0.008_7203.out,MNIST,prune_0.7,30,0.008,abc,3,1
MNIST_0.006_625.out,MNIST,baseline,70,0.006,abc,25,0
MNIST_0.010_3777.out,,,,,,,0
MNIST_0.008_925.out,MNIST,baseline,100,0.008,abc,25,0
MNIST_0.009_7379.out,MNIST,prune_0.7,40,0.009,abc,79,0
MNIST_0.007_3165.out,MNIST,prune_0.3,20,0.007,abc,65,0
MNIST_0.009_5668.out,MNIST,prune_0.5,70,0.009,abc,68,0
MNIST_0.005_1617.out,MNIST,prune_0.1,70,0.005,abc,17,1
MNIST_0.009_17.out,MNIST,baseline,10,0.009,abc,17,1
MNIST_0.010_6603.out,,,,,,,0
MNIST_0.006_7392.out,MNIST,prune_0.7,40,0.006,abc,92,0
MNIST_0.005_7131.out,MNIST,prune_0.7,20,0.005,abc,31,1
MNIST_0.010_2860.out,MNIST,prune_0.2,90,0.01,abc,60,0
MNIST_0.007_7406.out,MNIST,prune_0.7,50,0.007,abc,6,1
MNIST_0.007_2905.out,MNIST,prune_0.2,100,0.007,abc,5,0
MNIST_0.008_1198.out,MNIST,prune_0.1,20,0.008,abc,98,0
MNIST_0.004_3209.out,MNIST,prune_0.3,30,0.004,abc,9,1
MNIST_0.010_301.out,MNIST,baseline,40,0.01,abc,1,0
MNIST_0.007_1451.out,MNIST,prune_0.1,50,0.007,abc,51,0
MNIST_0.007_4165.out,MNIST,prune_0.4,20,0.007,abc,65,0
MNIST_0.007_554.out,MNIST,baseline,60,0.007,abc,54,1
MNIST_0.004_3465.out,MNIST,prune_0.3,50,0.004,abc,65,1
MNIST_0.004_4098.out,MNIST,prune_0.4,10,0.004,abc,98,1
MNIST_0.007_3236.out,MNIST,prune_0.3,30,0.007,abc,36,1
MNIST_0.007_6803.out,MNIST,prune_0.6,90,0.007,abc,3,0
MNIST_0.010_6426.out,,,,,,,0
MNIST_0.008_2397.out,MNIST,prune_0.2,40,0.008,abc,97,0
MNIST_0.007_6637.out,MNIST,prune_0.6,70,0.007,abc,37,0
MNIST_0.010_3666.out,MNIST,prune_0.3,70,0.01,abc,66,0
MNIST_0.009_7055.out,MNIST,prune_0.7,10,0.009,abc,55,0
MNIST_0.009_6690.out,MNIST,prune_0.6,70,0.009,abc,90,0
MNIST_0.010_5034.out,,,,,,,0
MNIST_0.006_1317.out,MNIST,prune_0.1,40,0.006,abc,17,1
MNIST_0.009_5076.out,MNIST,prune_0.5,10,0.009,abc,76,0
MNIST_0.004_3306.out,MNIST,prune_0.3,40,0.004,abc,6,1
MNIST_0.006_7142.out,MNIST,prune_0.7,20,0.006,abc,42,1
MNIST_0.009_1682.out,MNIST,prune_0.1,70,0.009,abc,82,0
MNIST_0.008_12.out,MNIST,baseline,10,0.008,abc,12,0
MNIST_0.008_3033.out,MNIST,prune_0.3,10,0.008,abc,33,0
MNIST_0.006_5340.out,MNIST,prune_0.5,40,0.006,abc,40,0
MNIST_0.004_3871.out,MNIST,prune_0.3,90,0.004,abc,71,1
MNIST_0.008_4217.out,MNIST,prune_0.4,30,0.008,abc,17,1
MNIST_0.004_2493.out,MNIST,prune_0.2,50,0.004,abc,93,1
MNIST_0.006_3092.out,MNIST,prune_0.3,10,0.006,abc,92,0
MNIST_0.007_3134.out,MNIST,prune_0.3,20,0.007,abc,34,1
MNIST_0.008_7442.out,MNIST,prune_0.7,50,0.008,abc,42,0
MNIST_0.008_2676.out,MNIST,prune_0.2,70,0.008,abc,76,0
MNIST_0.008_4120.out,MNIST,prune_0.4,20,0.008,abc,20,0
