model_type,prune_type,seed,accuracy,zero_weight_percentage
resnet8,prune_0.7,100,0.9957,69.4599081941596
resnet4,prune_0.8,10,0.9952,78.73075430197956
resnet4,prune_0.8,20,0.9946,78.73075430197956
resnet4,prune_0.8,30,0.994,78.73075430197956
resnet4,prune_0.8,40,0.9941,78.73075430197956
resnet4,prune_0.8,50,0.9945,78.73075430197956
resnet4,prune_0.8,60,0.9941,78.73075430197956
resnet4,prune_0.8,70,0.994,78.73075430197956
resnet4,prune_0.8,80,0.9943,78.73075430197956
resnet4,prune_0.8,90,0.9942,78.73075430197956
resnet4,prune_0.8,100,0.994,78.73075430197956
resnet6,prune_0.8,10,0.9945,79.21652101484723
resnet6,prune_0.8,20,0.9958,79.21652101484723
resnet6,prune_0.8,30,0.9951,79.21652101484723
resnet6,prune_0.8,40,0.9962,79.21652101484723
resnet6,prune_0.8,50,0.9947,79.21652101484723
resnet6,prune_0.8,60,0.9956,79.21652101484723
resnet6,prune_0.8,70,0.9955,79.21652101484723
resnet6,prune_0.8,80,0.9956,79.21652101484723
resnet6,prune_0.8,90,0.9953,79.21652101484723
resnet6,prune_0.8,100,0.9956,79.21652101484723
resnet8,prune_0.8,10,0.9965,79.38275222189667
resnet8,prune_0.8,20,0.9951,79.38275222189667
resnet8,prune_0.8,30,0.9942,79.38275222189667
resnet8,prune_0.8,40,0.9952,79.38275222189667
resnet8,prune_0.8,50,0.9965,79.38275222189667
resnet8,prune_0.8,60,0.9955,79.38275222189667
resnet8,prune_0.8,70,0.9953,79.38275222189667
resnet8,prune_0.8,80,0.995,79.38275222189667
resnet8,prune_0.8,90,0.9951,79.38275222189667
resnet8,prune_0.8,100,0.9956,79.38275222189667
