dataset,pruning,seed,epsilon,property_group,result
JPL,prune0.4,80.0,0.0003,0-49,40
JPL,prune0.4,80.0,0.0003,50-99,41
JPL,prune0.4,80.0,0.0005,0-49,34
JPL,prune0.4,80.0,0.0005,50-99,38
JPL,prune0.4,80.0,0.0006,0-49,29
JPL,prune0.4,80.0,0.0006,50-99,37
JPL,prune0.4,80.0,0.0007,0-49,25
JPL,prune0.4,80.0,0.0007,50-99,37
JPL,prune0.4,80.0,0.0008,0-49,20
JPL,prune0.4,80.0,0.0008,50-99,36
JPL,prune0.4,80.0,0.0009,0-49,14
JPL,prune0.4,80.0,0.0009,50-99,36
JPL,prune0.4,90.0,0.0003,0-49,37
JPL,prune0.4,90.0,0.0003,50-99,39
JPL,prune0.4,90.0,0.0005,0-49,28
JPL,prune0.4,90.0,0.0005,50-99,37
JPL,prune0.4,90.0,0.0006,0-49,24
JPL,prune0.4,90.0,0.0006,50-99,37
JPL,prune0.4,90.0,0.0007,0-49,17
JPL,prune0.4,90.0,0.0007,50-99,36
JPL,prune0.4,90.0,0.0008,0-49,15
JPL,prune0.4,90.0,0.0008,50-99,36
JPL,prune0.4,90.0,0.0009,0-49,9
JPL,prune0.4,90.0,0.0009,50-99,36
JPL,prune0.4,100.0,0.0003,0-49,40
JPL,prune0.4,100.0,0.0003,50-99,41
JPL,prune0.4,100.0,0.0005,0-49,32
JPL,prune0.4,100.0,0.0005,50-99,37
JPL,prune0.4,100.0,0.0006,0-49,20
JPL,prune0.4,100.0,0.0006,50-99,36
JPL,prune0.4,100.0,0.0007,0-49,13
JPL,prune0.4,100.0,0.0007,50-99,36
JPL,prune0.4,100.0,0.0008,0-49,9
JPL,prune0.4,100.0,0.0008,50-99,33
JPL,prune0.4,100.0,0.0009,0-49,2
JPL,prune0.4,100.0,0.0009,50-99,19
JPL,prune0.5,10.0,0.0003,0-49,38
JPL,prune0.5,10.0,0.0003,50-99,38
JPL,prune0.5,10.0,0.0005,0-49,30
JPL,prune0.5,10.0,0.0005,50-99,37
JPL,prune0.5,10.0,0.0006,0-49,25
JPL,prune0.5,10.0,0.0006,50-99,36
JPL,prune0.5,10.0,0.0007,0-49,17
JPL,prune0.5,10.0,0.0007,50-99,35
JPL,prune0.5,10.0,0.0008,0-49,10
JPL,prune0.5,10.0,0.0008,50-99,28
JPL,prune0.5,10.0,0.0009,0-49,3
JPL,prune0.5,10.0,0.0009,50-99,18
JPL,prune0.5,20.0,0.0003,0-49,32
JPL,prune0.5,20.0,0.0003,50-99,38
JPL,prune0.5,20.0,0.0005,0-49,24
JPL,prune0.5,20.0,0.0005,50-99,37
JPL,prune0.5,20.0,0.0006,0-49,17
JPL,prune0.5,20.0,0.0006,50-99,36
JPL,prune0.5,20.0,0.0007,0-49,8
JPL,prune0.5,20.0,0.0007,50-99,35
JPL,prune0.5,20.0,0.0008,0-49,2
JPL,prune0.5,20.0,0.0008,50-99,25
JPL,prune0.5,20.0,0.0009,0-49,0
JPL,prune0.5,20.0,0.0009,50-99,14
JPL,prune0.5,30.0,0.0003,0-49,43
JPL,prune0.5,30.0,0.0003,50-99,39
JPL,prune0.5,30.0,0.0005,0-49,35
JPL,prune0.5,30.0,0.0005,50-99,38
JPL,prune0.5,30.0,0.0006,0-49,32
JPL,prune0.5,30.0,0.0006,50-99,37
JPL,prune0.5,30.0,0.0007,0-49,26
JPL,prune0.5,30.0,0.0007,50-99,37
JPL,prune0.5,30.0,0.0008,0-49,20
JPL,prune0.5,30.0,0.0008,50-99,37
JPL,prune0.5,30.0,0.0009,0-49,17
JPL,prune0.5,30.0,0.0009,50-99,36
JPL,prune0.5,40.0,0.0003,0-49,40
JPL,prune0.5,40.0,0.0003,50-99,42
JPL,prune0.5,40.0,0.0005,0-49,30
JPL,prune0.5,40.0,0.0005,50-99,38
JPL,prune0.5,40.0,0.0006,0-49,25
JPL,prune0.5,40.0,0.0006,50-99,38
JPL,prune0.5,40.0,0.0007,0-49,18
JPL,prune0.5,40.0,0.0007,50-99,36
JPL,prune0.5,40.0,0.0008,0-49,10
JPL,prune0.5,40.0,0.0008,50-99,36
JPL,prune0.5,40.0,0.0009,0-49,7
JPL,prune0.5,40.0,0.0009,50-99,36
JPL,prune0.5,50.0,0.0003,0-49,38
JPL,prune0.5,50.0,0.0003,50-99,38
JPL,prune0.5,50.0,0.0005,0-49,32
JPL,prune0.5,50.0,0.0005,50-99,37
JPL,prune0.5,50.0,0.0006,0-49,26
JPL,prune0.5,50.0,0.0006,50-99,36
JPL,prune0.5,50.0,0.0007,0-49,18
JPL,prune0.5,50.0,0.0007,50-99,34
JPL,prune0.5,50.0,0.0008,0-49,11
JPL,prune0.5,50.0,0.0008,50-99,26
JPL,prune0.5,50.0,0.0009,0-49,2
JPL,prune0.5,50.0,0.0009,50-99,14
JPL,prune0.5,60.0,0.0003,0-49,41
JPL,prune0.5,60.0,0.0003,50-99,40
JPL,prune0.5,60.0,0.0005,0-49,36
JPL,prune0.5,60.0,0.0005,50-99,38
JPL,prune0.5,60.0,0.0006,0-49,32
JPL,prune0.5,60.0,0.0006,50-99,38
JPL,prune0.5,60.0,0.0007,0-49,27
JPL,prune0.5,60.0,0.0007,50-99,38
JPL,prune0.5,60.0,0.0008,0-49,17
JPL,prune0.5,60.0,0.0008,50-99,37
JPL,prune0.5,60.0,0.0009,0-49,13
JPL,prune0.5,60.0,0.0009,50-99,35
JPL,prune0.5,70.0,0.0003,0-49,41
JPL,prune0.5,70.0,0.0003,50-99,40
JPL,prune0.5,70.0,0.0005,0-49,32
JPL,prune0.5,70.0,0.0005,50-99,38
JPL,prune0.5,70.0,0.0006,0-49,26
JPL,prune0.5,70.0,0.0006,50-99,37
JPL,prune0.5,70.0,0.0007,0-49,20
JPL,prune0.5,70.0,0.0007,50-99,35
JPL,prune0.5,70.0,0.0008,0-49,14
JPL,prune0.5,70.0,0.0008,50-99,32
JPL,prune0.5,70.0,0.0009,0-49,4
JPL,prune0.5,70.0,0.0009,50-99,22
JPL,prune0.5,80.0,0.0003,0-49,40
JPL,prune0.5,80.0,0.0003,50-99,40
JPL,prune0.5,80.0,0.0005,0-49,34
JPL,prune0.5,80.0,0.0005,50-99,38
JPL,prune0.5,80.0,0.0006,0-49,28
JPL,prune0.5,80.0,0.0006,50-99,37
JPL,prune0.5,80.0,0.0007,0-49,24
JPL,prune0.5,80.0,0.0007,50-99,37
JPL,prune0.5,80.0,0.0008,0-49,20
JPL,prune0.5,80.0,0.0008,50-99,36
JPL,prune0.5,80.0,0.0009,0-49,13
JPL,prune0.5,80.0,0.0009,50-99,36
JPL,prune0.5,90.0,0.0003,0-49,36
JPL,prune0.5,90.0,0.0003,50-99,40
JPL,prune0.5,90.0,0.0005,0-49,28
JPL,prune0.5,90.0,0.0005,50-99,37
JPL,prune0.5,90.0,0.0006,0-49,23
JPL,prune0.5,90.0,0.0006,50-99,37
JPL,prune0.5,90.0,0.0007,0-49,17
JPL,prune0.5,90.0,0.0007,50-99,36
JPL,prune0.5,90.0,0.0008,0-49,14
JPL,prune0.5,90.0,0.0008,50-99,36
JPL,prune0.5,90.0,0.0009,0-49,9
JPL,prune0.5,90.0,0.0009,50-99,36
JPL,prune0.5,100.0,0.0003,0-49,40
JPL,prune0.5,100.0,0.0003,50-99,41
JPL,prune0.5,100.0,0.0005,0-49,32
JPL,prune0.5,100.0,0.0005,50-99,37
JPL,prune0.5,100.0,0.0006,0-49,19
JPL,prune0.5,100.0,0.0006,50-99,37
JPL,prune0.5,100.0,0.0007,0-49,13
JPL,prune0.5,100.0,0.0007,50-99,36
JPL,prune0.5,100.0,0.0008,0-49,9
JPL,prune0.5,100.0,0.0008,50-99,34
JPL,prune0.5,100.0,0.0009,0-49,2
JPL,prune0.5,100.0,0.0009,50-99,22
JPL,prune0.6,10.0,0.0003,0-49,36
JPL,prune0.6,10.0,0.0003,50-99,38
JPL,prune0.6,10.0,0.0005,0-49,30
JPL,prune0.6,10.0,0.0005,50-99,37
JPL,prune0.6,10.0,0.0006,0-49,26
JPL,prune0.6,10.0,0.0006,50-99,37
JPL,prune0.6,10.0,0.0007,0-49,18
JPL,prune0.6,10.0,0.0007,50-99,35
JPL,prune0.6,10.0,0.0008,0-49,12
JPL,prune0.6,10.0,0.0008,50-99,32
JPL,prune0.6,10.0,0.0009,0-49,4
JPL,prune0.6,10.0,0.0009,50-99,26
JPL,prune0.6,20.0,0.0003,0-49,33
JPL,prune0.6,20.0,0.0003,50-99,38
JPL,prune0.6,20.0,0.0005,0-49,23
JPL,prune0.6,20.0,0.0005,50-99,37
JPL,prune0.6,20.0,0.0006,0-49,14
JPL,prune0.6,20.0,0.0006,50-99,36
JPL,prune0.6,20.0,0.0007,0-49,7
JPL,prune0.6,20.0,0.0007,50-99,35
JPL,prune0.6,20.0,0.0008,0-49,3
JPL,prune0.6,20.0,0.0008,50-99,26
JPL,prune0.6,20.0,0.0009,0-49,0
JPL,prune0.6,20.0,0.0009,50-99,16
JPL,prune0.6,30.0,0.0003,0-49,41
JPL,prune0.6,30.0,0.0003,50-99,39
JPL,prune0.6,30.0,0.0005,0-49,33
JPL,prune0.6,30.0,0.0005,50-99,38
JPL,prune0.6,30.0,0.0006,0-49,28
JPL,prune0.6,30.0,0.0006,50-99,38
JPL,prune0.6,30.0,0.0007,0-49,25
JPL,prune0.6,30.0,0.0007,50-99,37
JPL,prune0.6,30.0,0.0008,0-49,18
JPL,prune0.6,30.0,0.0008,50-99,37
JPL,prune0.6,30.0,0.0009,0-49,14
JPL,prune0.6,30.0,0.0009,50-99,37
JPL,prune0.6,40.0,0.0003,0-49,42
JPL,prune0.6,40.0,0.0003,50-99,42
JPL,prune0.6,40.0,0.0005,0-49,32
JPL,prune0.6,40.0,0.0005,50-99,38
JPL,prune0.6,40.0,0.0006,0-49,25
JPL,prune0.6,40.0,0.0006,50-99,38
JPL,prune0.6,40.0,0.0007,0-49,19
JPL,prune0.6,40.0,0.0007,50-99,37
JPL,prune0.6,40.0,0.0008,0-49,11
JPL,prune0.6,40.0,0.0008,50-99,36
JPL,prune0.6,40.0,0.0009,0-49,8
JPL,prune0.6,40.0,0.0009,50-99,36
JPL,prune0.6,50.0,0.0003,0-49,39
JPL,prune0.6,50.0,0.0003,50-99,38
JPL,prune0.6,50.0,0.0005,0-49,33
JPL,prune0.6,50.0,0.0005,50-99,37
JPL,prune0.6,50.0,0.0006,0-49,26
JPL,prune0.6,50.0,0.0006,50-99,36
JPL,prune0.6,50.0,0.0007,0-49,19
JPL,prune0.6,50.0,0.0007,50-99,35
JPL,prune0.6,50.0,0.0008,0-49,12
JPL,prune0.6,50.0,0.0008,50-99,27
JPL,prune0.6,50.0,0.0009,0-49,5
JPL,prune0.6,50.0,0.0009,50-99,17
JPL,prune0.6,60.0,0.0003,0-49,43
JPL,prune0.6,60.0,0.0003,50-99,40
JPL,prune0.6,60.0,0.0005,0-49,36
JPL,prune0.6,60.0,0.0005,50-99,38
JPL,prune0.6,60.0,0.0006,0-49,31
JPL,prune0.6,60.0,0.0006,50-99,38
JPL,prune0.6,60.0,0.0007,0-49,27
JPL,prune0.6,60.0,0.0007,50-99,38
JPL,prune0.6,60.0,0.0008,0-49,17
JPL,prune0.6,60.0,0.0008,50-99,37
JPL,prune0.6,60.0,0.0009,0-49,15
JPL,prune0.6,60.0,0.0009,50-99,35
JPL,prune0.6,70.0,0.0003,0-49,43
JPL,prune0.6,70.0,0.0003,50-99,42
JPL,prune0.6,70.0,0.0005,0-49,38
JPL,prune0.6,70.0,0.0005,50-99,39
JPL,prune0.6,70.0,0.0006,0-49,34
JPL,prune0.6,70.0,0.0006,50-99,38
JPL,prune0.6,70.0,0.0007,0-49,27
JPL,prune0.6,70.0,0.0007,50-99,37
JPL,prune0.6,70.0,0.0008,0-49,19
JPL,prune0.6,70.0,0.0008,50-99,35
JPL,prune0.6,70.0,0.0009,0-49,14
JPL,prune0.6,70.0,0.0009,50-99,33
JPL,prune0.6,80.0,0.0003,0-49,40
JPL,prune0.6,80.0,0.0003,50-99,41
JPL,prune0.6,80.0,0.0005,0-49,35
JPL,prune0.6,80.0,0.0005,50-99,38
JPL,prune0.6,80.0,0.0006,0-49,29
JPL,prune0.6,80.0,0.0006,50-99,37
JPL,prune0.6,80.0,0.0007,0-49,25
JPL,prune0.6,80.0,0.0007,50-99,37
JPL,prune0.6,80.0,0.0008,0-49,20
JPL,prune0.6,80.0,0.0008,50-99,36
JPL,prune0.6,80.0,0.0009,0-49,14
JPL,prune0.6,80.0,0.0009,50-99,36
JPL,prune0.6,90.0,0.0003,0-49,42
JPL,prune0.6,90.0,0.0003,50-99,40
JPL,prune0.6,90.0,0.0005,0-49,36
JPL,prune0.6,90.0,0.0005,50-99,37
JPL,prune0.6,90.0,0.0006,0-49,30
JPL,prune0.6,90.0,0.0006,50-99,37
JPL,prune0.6,90.0,0.0007,0-49,23
JPL,prune0.6,90.0,0.0007,50-99,36
JPL,prune0.6,90.0,0.0008,0-49,17
JPL,prune0.6,90.0,0.0008,50-99,36
JPL,prune0.6,90.0,0.0009,0-49,13
JPL,prune0.6,90.0,0.0009,50-99,35
JPL,prune0.6,100.0,0.0003,0-49,43
JPL,prune0.6,100.0,0.0003,50-99,41
JPL,prune0.6,100.0,0.0005,0-49,34
JPL,prune0.6,100.0,0.0005,50-99,38
JPL,prune0.6,100.0,0.0006,0-49,27
JPL,prune0.6,100.0,0.0006,50-99,37
JPL,prune0.6,100.0,0.0007,0-49,20
JPL,prune0.6,100.0,0.0007,50-99,36
JPL,prune0.6,100.0,0.0008,0-49,13
JPL,prune0.6,100.0,0.0008,50-99,35
JPL,prune0.6,100.0,0.0009,0-49,5
JPL,prune0.6,100.0,0.0009,50-99,26
JPL,prune0.7,10.0,0.0003,0-49,40
JPL,prune0.7,10.0,0.0003,50-99,40
JPL,prune0.7,10.0,0.0005,0-49,30
JPL,prune0.7,10.0,0.0005,50-99,37
JPL,prune0.7,10.0,0.0006,0-49,25
JPL,prune0.7,10.0,0.0006,50-99,37
JPL,prune0.7,10.0,0.0007,0-49,21
JPL,prune0.7,10.0,0.0007,50-99,36
JPL,prune0.7,10.0,0.0008,0-49,14
JPL,prune0.7,10.0,0.0008,50-99,34
JPL,prune0.7,10.0,0.0009,0-49,10
JPL,prune0.7,10.0,0.0009,50-99,26
JPL,prune0.7,20.0,0.0003,0-49,40
JPL,prune0.7,20.0,0.0003,50-99,42
JPL,prune0.7,20.0,0.0005,0-49,33
JPL,prune0.7,20.0,0.0005,50-99,38
JPL,prune0.7,20.0,0.0006,0-49,28
JPL,prune0.7,20.0,0.0006,50-99,37
JPL,prune0.7,20.0,0.0007,0-49,17
JPL,prune0.7,20.0,0.0007,50-99,37
JPL,prune0.7,20.0,0.0008,0-49,9
JPL,prune0.7,20.0,0.0008,50-99,35
JPL,prune0.7,20.0,0.0009,0-49,5
JPL,prune0.7,20.0,0.0009,50-99,28
JPL,prune0.7,30.0,0.0003,0-49,42
JPL,prune0.7,30.0,0.0003,50-99,42
JPL,prune0.7,30.0,0.0005,0-49,33
JPL,prune0.7,30.0,0.0005,50-99,38
JPL,prune0.7,30.0,0.0006,0-49,29
JPL,prune0.7,30.0,0.0006,50-99,38
JPL,prune0.7,30.0,0.0007,0-49,19
JPL,prune0.7,30.0,0.0007,50-99,37
JPL,prune0.7,30.0,0.0008,0-49,16
JPL,prune0.7,30.0,0.0008,50-99,37
JPL,prune0.7,30.0,0.0009,0-49,14
JPL,prune0.7,30.0,0.0009,50-99,36
JPL,prune0.7,40.0,0.0003,0-49,43
JPL,prune0.7,40.0,0.0003,50-99,43
JPL,prune0.7,40.0,0.0005,0-49,34
JPL,prune0.7,40.0,0.0005,50-99,39
JPL,prune0.7,40.0,0.0006,0-49,25
JPL,prune0.7,40.0,0.0006,50-99,38
JPL,prune0.7,40.0,0.0007,0-49,20
JPL,prune0.7,40.0,0.0007,50-99,37
JPL,prune0.7,40.0,0.0008,0-49,11
JPL,prune0.7,40.0,0.0008,50-99,36
JPL,prune0.7,40.0,0.0009,0-49,7
JPL,prune0.7,40.0,0.0009,50-99,36
JPL,prune0.7,50.0,0.0003,0-49,40
JPL,prune0.7,50.0,0.0003,50-99,40
JPL,prune0.7,50.0,0.0005,0-49,33
JPL,prune0.7,50.0,0.0005,50-99,37
JPL,prune0.7,50.0,0.0006,0-49,26
JPL,prune0.7,50.0,0.0006,50-99,36
JPL,prune0.7,50.0,0.0007,0-49,19
JPL,prune0.7,50.0,0.0007,50-99,36
JPL,prune0.7,50.0,0.0008,0-49,12
JPL,prune0.7,50.0,0.0008,50-99,25
JPL,prune0.7,50.0,0.0009,0-49,6
JPL,prune0.7,50.0,0.0009,50-99,17
JPL,prune0.7,60.0,0.0003,0-49,40
JPL,prune0.7,60.0,0.0003,50-99,41
JPL,prune0.7,60.0,0.0005,0-49,33
JPL,prune0.7,60.0,0.0005,50-99,38
JPL,prune0.7,60.0,0.0006,0-49,31
JPL,prune0.7,60.0,0.0006,50-99,38
JPL,prune0.7,60.0,0.0007,0-49,23
JPL,prune0.7,60.0,0.0007,50-99,38
JPL,prune0.7,60.0,0.0008,0-49,17
JPL,prune0.7,60.0,0.0008,50-99,37
JPL,prune0.7,60.0,0.0009,0-49,13
JPL,prune0.7,60.0,0.0009,50-99,36
JPL,prune0.7,70.0,0.0003,0-49,42
JPL,prune0.7,70.0,0.0003,50-99,41
JPL,prune0.7,70.0,0.0005,0-49,39
JPL,prune0.7,70.0,0.0005,50-99,38
JPL,prune0.7,70.0,0.0006,0-49,32
JPL,prune0.7,70.0,0.0006,50-99,38
JPL,prune0.7,70.0,0.0007,0-49,23
JPL,prune0.7,70.0,0.0007,50-99,37
JPL,prune0.7,70.0,0.0008,0-49,17
JPL,prune0.7,70.0,0.0008,50-99,35
JPL,prune0.7,70.0,0.0009,0-49,11
JPL,prune0.7,70.0,0.0009,50-99,32
JPL,prune0.7,80.0,0.0003,0-49,38
JPL,prune0.7,80.0,0.0003,50-99,42
JPL,prune0.7,80.0,0.0005,0-49,31
JPL,prune0.7,80.0,0.0005,50-99,38
JPL,prune0.7,80.0,0.0006,0-49,27
JPL,prune0.7,80.0,0.0006,50-99,38
JPL,prune0.7,80.0,0.0007,0-49,19
JPL,prune0.7,80.0,0.0007,50-99,37
JPL,prune0.7,80.0,0.0008,0-49,13
JPL,prune0.7,80.0,0.0008,50-99,36
JPL,prune0.7,80.0,0.0009,0-49,7
JPL,prune0.7,80.0,0.0009,50-99,35
JPL,prune0.7,90.0,0.0003,0-49,41
JPL,prune0.7,90.0,0.0003,50-99,40
JPL,prune0.7,90.0,0.0005,0-49,32
JPL,prune0.7,90.0,0.0005,50-99,37
JPL,prune0.7,90.0,0.0006,0-49,29
JPL,prune0.7,90.0,0.0006,50-99,37
JPL,prune0.7,90.0,0.0007,0-49,21
JPL,prune0.7,90.0,0.0007,50-99,37
JPL,prune0.7,90.0,0.0008,0-49,16
JPL,prune0.7,90.0,0.0008,50-99,36
JPL,prune0.7,90.0,0.0009,0-49,10
JPL,prune0.7,90.0,0.0009,50-99,32
JPL,prune0.7,100.0,0.0003,0-49,42
JPL,prune0.7,100.0,0.0003,50-99,42
JPL,prune0.7,100.0,0.0005,0-49,33
JPL,prune0.7,100.0,0.0005,50-99,38
JPL,prune0.7,100.0,0.0006,0-49,27
JPL,prune0.7,100.0,0.0006,50-99,37
JPL,prune0.7,100.0,0.0007,0-49,18
JPL,prune0.7,100.0,0.0007,50-99,36
JPL,prune0.7,100.0,0.0008,0-49,12
JPL,prune0.7,100.0,0.0008,50-99,34
JPL,prune0.7,100.0,0.0009,0-49,3
JPL,prune0.7,100.0,0.0009,50-99,27
JPL,prune0.8,10.0,0.0003,0-49,38
JPL,prune0.8,10.0,0.0003,50-99,40
JPL,prune0.8,10.0,0.0005,0-49,30
JPL,prune0.8,10.0,0.0005,50-99,37
JPL,prune0.8,10.0,0.0006,0-49,25
JPL,prune0.8,10.0,0.0006,50-99,37
JPL,prune0.8,10.0,0.0007,0-49,18
JPL,prune0.8,10.0,0.0007,50-99,35
JPL,prune0.8,10.0,0.0008,0-49,11
JPL,prune0.8,10.0,0.0008,50-99,28
JPL,prune0.8,10.0,0.0009,0-49,6
JPL,prune0.8,10.0,0.0009,50-99,16
JPL,prune0.8,20.0,0.0003,0-49,34
JPL,prune0.8,20.0,0.0003,50-99,38
JPL,prune0.8,20.0,0.0005,0-49,25
JPL,prune0.8,20.0,0.0005,50-99,37
JPL,prune0.8,20.0,0.0006,0-49,14
JPL,prune0.8,20.0,0.0006,50-99,37
JPL,prune0.8,20.0,0.0007,0-49,10
JPL,prune0.8,20.0,0.0007,50-99,35
JPL,prune0.8,20.0,0.0008,0-49,6
JPL,prune0.8,20.0,0.0008,50-99,31
JPL,prune0.8,20.0,0.0009,0-49,2
JPL,prune0.8,20.0,0.0009,50-99,23
JPL,prune0.8,30.0,0.0003,0-49,43
JPL,prune0.8,30.0,0.0003,50-99,42
JPL,prune0.8,30.0,0.0005,0-49,40
JPL,prune0.8,30.0,0.0005,50-99,41
JPL,prune0.8,30.0,0.0006,0-49,32
JPL,prune0.8,30.0,0.0006,50-99,38
JPL,prune0.8,30.0,0.0007,0-49,30
JPL,prune0.8,30.0,0.0007,50-99,37
JPL,prune0.8,30.0,0.0008,0-49,20
JPL,prune0.8,30.0,0.0008,50-99,37
JPL,prune0.8,30.0,0.0009,0-49,16
JPL,prune0.8,30.0,0.0009,50-99,36
JPL,prune0.8,40.0,0.0003,0-49,39
JPL,prune0.8,40.0,0.0003,50-99,43
JPL,prune0.8,40.0,0.0005,0-49,33
JPL,prune0.8,40.0,0.0005,50-99,38
JPL,prune0.8,40.0,0.0006,0-49,23
JPL,prune0.8,40.0,0.0006,50-99,38
JPL,prune0.8,40.0,0.0007,0-49,17
JPL,prune0.8,40.0,0.0007,50-99,37
JPL,prune0.8,40.0,0.0008,0-49,10
JPL,prune0.8,40.0,0.0008,50-99,36
JPL,prune0.8,40.0,0.0009,0-49,5
JPL,prune0.8,40.0,0.0009,50-99,35
JPL,prune0.8,50.0,0.0003,0-49,45
JPL,prune0.8,50.0,0.0003,50-99,41
JPL,prune0.8,50.0,0.0005,0-49,39
JPL,prune0.8,50.0,0.0005,50-99,38
JPL,prune0.8,50.0,0.0006,0-49,34
JPL,prune0.8,50.0,0.0006,50-99,36
JPL,prune0.8,50.0,0.0007,0-49,27
JPL,prune0.8,50.0,0.0007,50-99,35
JPL,prune0.8,50.0,0.0008,0-49,21
JPL,prune0.8,50.0,0.0008,50-99,35
JPL,prune0.8,50.0,0.0009,0-49,13
JPL,prune0.8,50.0,0.0009,50-99,27
JPL,prune0.8,60.0,0.0003,0-49,42
JPL,prune0.8,60.0,0.0003,50-99,43
JPL,prune0.8,60.0,0.0005,0-49,35
JPL,prune0.8,60.0,0.0005,50-99,38
JPL,prune0.8,60.0,0.0006,0-49,30
JPL,prune0.8,60.0,0.0006,50-99,38
JPL,prune0.8,60.0,0.0007,0-49,24
JPL,prune0.8,60.0,0.0007,50-99,38
JPL,prune0.8,60.0,0.0008,0-49,15
JPL,prune0.8,60.0,0.0008,50-99,36
JPL,prune0.8,60.0,0.0009,0-49,8
JPL,prune0.8,60.0,0.0009,50-99,35
JPL,prune0.8,70.0,0.0003,0-49,41
JPL,prune0.8,70.0,0.0003,50-99,42
JPL,prune0.8,70.0,0.0005,0-49,35
JPL,prune0.8,70.0,0.0005,50-99,38
JPL,prune0.8,70.0,0.0006,0-49,29
JPL,prune0.8,70.0,0.0006,50-99,38
JPL,prune0.8,70.0,0.0007,0-49,23
JPL,prune0.8,70.0,0.0007,50-99,37
JPL,prune0.8,70.0,0.0008,0-49,16
JPL,prune0.8,70.0,0.0008,50-99,34
JPL,prune0.8,70.0,0.0009,0-49,12
JPL,prune0.8,70.0,0.0009,50-99,27
JPL,prune0.8,80.0,0.0003,0-49,37
JPL,prune0.8,80.0,0.0003,50-99,42
JPL,prune0.8,80.0,0.0005,0-49,32
JPL,prune0.8,80.0,0.0005,50-99,38
JPL,prune0.8,80.0,0.0006,0-49,25
JPL,prune0.8,80.0,0.0006,50-99,38
JPL,prune0.8,80.0,0.0007,0-49,15
JPL,prune0.8,80.0,0.0007,50-99,38
JPL,prune0.8,80.0,0.0008,0-49,12
JPL,prune0.8,80.0,0.0008,50-99,36
JPL,prune0.8,80.0,0.0009,0-49,7
JPL,prune0.8,80.0,0.0009,50-99,34
JPL,prune0.8,90.0,0.0003,0-49,41
JPL,prune0.8,90.0,0.0003,50-99,40
JPL,prune0.8,90.0,0.0005,0-49,30
JPL,prune0.8,90.0,0.0005,50-99,37
JPL,prune0.8,90.0,0.0006,0-49,28
JPL,prune0.8,90.0,0.0006,50-99,37
JPL,prune0.8,90.0,0.0007,0-49,22
JPL,prune0.8,90.0,0.0007,50-99,36
JPL,prune0.8,90.0,0.0008,0-49,17
JPL,prune0.8,90.0,0.0008,50-99,36
JPL,prune0.8,90.0,0.0009,0-49,12
JPL,prune0.8,90.0,0.0009,50-99,36
JPL,prune0.8,100.0,0.0003,0-49,41
JPL,prune0.8,100.0,0.0003,50-99,42
JPL,prune0.8,100.0,0.0005,0-49,32
JPL,prune0.8,100.0,0.0005,50-99,38
JPL,prune0.8,100.0,0.0006,0-49,25
JPL,prune0.8,100.0,0.0006,50-99,36
JPL,prune0.8,100.0,0.0007,0-49,16
JPL,prune0.8,100.0,0.0007,50-99,36
JPL,prune0.8,100.0,0.0008,0-49,11
JPL,prune0.8,100.0,0.0008,50-99,35
JPL,prune0.8,100.0,0.0009,0-49,3
JPL,prune0.8,100.0,0.0009,50-99,26
MNIST,baseline,10.0,0.006,0-49,48
MNIST,baseline,10.0,0.006,50-99,49
MNIST,baseline,10.0,0.007,0-49,46
MNIST,baseline,10.0,0.007,50-99,44
MNIST,baseline,10.0,0.008,0-49,30
MNIST,baseline,10.0,0.008,50-99,30
MNIST,baseline,20.0,0.006,0-49,47
MNIST,baseline,20.0,0.006,50-99,46
MNIST,baseline,20.0,0.007,0-49,33
MNIST,baseline,20.0,0.007,50-99,34
MNIST,baseline,20.0,0.008,0-49,5
MNIST,baseline,20.0,0.008,50-99,11
MNIST,baseline,30.0,0.006,0-49,48
MNIST,baseline,30.0,0.006,50-99,45
MNIST,baseline,30.0,0.007,0-49,39
MNIST,baseline,30.0,0.007,50-99,38
MNIST,baseline,30.0,0.008,0-49,14
MNIST,baseline,30.0,0.008,50-99,22
MNIST,baseline,40.0,0.006,0-49,47
MNIST,baseline,40.0,0.006,50-99,45
MNIST,baseline,40.0,0.007,0-49,28
MNIST,baseline,40.0,0.007,50-99,34
MNIST,baseline,40.0,0.008,0-49,7
MNIST,baseline,40.0,0.008,50-99,11
MNIST,baseline,50.0,0.006,0-49,11
MNIST,baseline,50.0,0.006,50-99,17
MNIST,baseline,50.0,0.007,0-49,1
MNIST,baseline,50.0,0.007,50-99,6
MNIST,baseline,50.0,0.008,0-49,0
MNIST,baseline,50.0,0.008,50-99,0
MNIST,baseline,60.0,0.006,0-49,49
MNIST,baseline,60.0,0.006,50-99,47
MNIST,baseline,60.0,0.007,0-49,38
MNIST,baseline,60.0,0.007,50-99,37
MNIST,baseline,60.0,0.008,0-49,21
MNIST,baseline,60.0,0.008,50-99,27
MNIST,baseline,70.0,0.006,0-49,43
MNIST,baseline,70.0,0.006,50-99,42
MNIST,baseline,70.0,0.007,0-49,16
MNIST,baseline,70.0,0.007,50-99,24
MNIST,baseline,70.0,0.008,0-49,0
MNIST,baseline,70.0,0.008,50-99,4
MNIST,baseline,80.0,0.006,0-49,26
MNIST,baseline,80.0,0.006,50-99,30
MNIST,baseline,80.0,0.007,0-49,1
MNIST,baseline,80.0,0.007,50-99,6
