dataset,pruning,seed,epsilon,result
JPL,prune0.7,30,0.0006,67
JPL,prune0.7,40,0.0006,63
JPL,prune0.7,50,0.0006,62
JPL,prune0.7,60,0.0006,69
JPL,prune0.7,70,0.0006,70
JPL,prune0.7,80,0.0006,65
JPL,prune0.7,90,0.0006,66
JPL,prune0.8,10,0.0006,62
JPL,prune0.8,100,0.0006,61
JPL,prune0.8,20,0.0006,51
JPL,prune0.8,30,0.0006,70
JPL,prune0.8,40,0.0006,61
JPL,prune0.8,50,0.0006,70
JPL,prune0.8,60,0.0006,68
JPL,prune0.8,70,0.0006,67
JPL,prune0.8,80,0.0006,63
JPL,prune0.8,90,0.0006,65
JPL,baseline,10,0.0007,55
JPL,baseline,100,0.0007,48
JPL,baseline,20,0.0007,53
JPL,baseline,30,0.0007,60
JPL,baseline,40,0.0007,46
JPL,baseline,50,0.0007,53
JPL,baseline,60,0.0007,67
JPL,baseline,70,0.0007,56
JPL,baseline,80,0.0007,59
JPL,baseline,90,0.0007,61
JPL,prune0.1,10,0.0007,56
JPL,prune0.1,100,0.0007,47
JPL,prune0.1,20,0.0007,51
JPL,prune0.1,30,0.0007,51
JPL,prune0.1,40,0.0007,45
JPL,prune0.1,50,0.0007,50
JPL,prune0.1,60,0.0007,60
JPL,prune0.1,70,0.0007,62
JPL,prune0.1,80,0.0007,62
JPL,prune0.1,90,0.0007,53
JPL,prune0.2,10,0.0007,48
JPL,prune0.2,100,0.0007,61
JPL,prune0.2,20,0.0007,50
JPL,prune0.2,30,0.0007,52
JPL,prune0.2,40,0.0007,45
JPL,prune0.2,50,0.0007,50
JPL,prune0.2,60,0.0007,67
JPL,prune0.2,70,0.0007,63
JPL,prune0.2,80,0.0007,62
JPL,prune0.2,90,0.0007,53
JPL,prune0.3,10,0.0007,49
JPL,prune0.3,100,0.0007,61
JPL,prune0.3,20,0.0007,50
JPL,prune0.3,30,0.0007,55
JPL,prune0.3,40,0.0007,45
JPL,prune0.3,50,0.0007,47
JPL,prune0.3,60,0.0007,66
JPL,prune0.3,70,0.0007,63
JPL,prune0.3,80,0.0007,63
JPL,prune0.3,90,0.0007,53
JPL,prune0.4,10,0.0007,50
